ReportingDate,count
2018-06-26 00:00:00.000,5
2017-02-17 00:00:00.000,5
2017-05-17 00:00:00.000,5
2023-11-15 00:00:00.000,5
2017-02-21 00:00:00.000,5
2013-08-13 00:00:00.000,5
2004-01-19 00:00:00.000,5
2004-07-26 00:00:00.000,5
2017-05-29 00:00:00.000,5
2002-12-23 00:00:00.000,5
2002-10-21 00:00:00.000,5
2018-04-09 00:00:00.000,5
2013-04-05 00:00:00.000,5
2013-04-06 00:00:00.000,5
2002-08-05 00:00:00.000,5
2013-04-18 00:00:00.000,5
2019-03-18 00:00:00.000,5
2013-08-02 00:00:00.000,5
2019-02-20 00:00:00.000,5
2019-03-14 00:00:00.000,5
2013-05-03 00:00:00.000,5
2019-02-25 00:00:00.000,5
2019-03-11 00:00:00.000,5
2016-03-11 00:00:00.000,5
2019-03-07 00:00:00.000,5
2003-08-11 00:00:00.000,5
2015-07-14 00:00:00.000,5
2015-07-13 00:00:00.000,5
2015-07-10 00:00:00.000,5
2018-05-09 00:00:00.000,5
2017-03-14 00:00:00.000,5
2013-08-01 00:00:00.000,5
2019-02-04 00:00:00.000,5
2004-07-05 00:00:00.000,5
2015-06-09 00:00:00.000,5
2017-05-18 00:00:00.000,5
2013-07-19 00:00:00.000,5
2015-06-15 00:00:00.000,5
2004-04-26 00:00:00.000,5
2013-07-14 00:00:00.000,5
2011-08-05 00:00:00.000,5
2015-07-03 00:00:00.000,5
2013-02-25 00:00:00.000,5
2018-04-03 00:00:00.000,5
2017-01-23 00:00:00.000,5
2013-10-09 00:00:00.000,5
2014-12-17 00:00:00.000,5
2008-09-15 00:00:00.000,5
2014-12-28 00:00:00.000,5
2015-04-19 00:00:00.000,5
2014-12-20 00:00:00.000,5
2008-07-14 00:00:00.000,5
2015-01-29 00:00:00.000,5
2014-12-27 00:00:00.000,5
2006-12-11 00:00:00.000,5
2011-04-20 00:00:00.000,5
2016-08-18 00:00:00.000,5
2011-07-23 00:00:00.000,5
2014-12-15 00:00:00.000,5
2014-12-22 00:00:00.000,5
2015-04-25 00:00:00.000,5
2014-12-18 00:00:00.000,5
2015-02-15 00:00:00.000,5
2008-08-25 00:00:00.000,5
2015-04-18 00:00:00.000,5
2011-07-19 00:00:00.000,5
2015-01-01 00:00:00.000,5
2014-12-10 00:00:00.000,5
2015-04-05 00:00:00.000,5
2017-05-09 00:00:00.000,5
2010-01-11 00:00:00.000,5
2010-01-18 00:00:00.000,5
2011-07-04 00:00:00.000,5
2014-12-23 00:00:00.000,4
2013-08-15 00:00:00.000,4
2014-12-25 00:00:00.000,4
2006-12-18 00:00:00.000,4
2013-03-18 00:00:00.000,4
2019-04-09 00:00:00.000,4
2018-05-13 00:00:00.000,4
2011-06-23 00:00:00.000,4
2004-11-01 00:00:00.000,4
2017-03-13 00:00:00.000,4
2013-08-23 00:00:00.000,4
2004-11-15 00:00:00.000,4
2013-08-21 00:00:00.000,4
2024-08-28 00:00:00.000,4
